Kode,Nama Perusahaan,Sektor Bisnis,Website,Social Media,Kontak
1,BEI: AALI,Astra Agro Lestari Tbk.,,[],
2,BEI: ABBA,Mahaka Media Tbk.,,[],
3,BEI: ABDA,Asuransi Bina Dana Arta Tbk.,,[],
4,BEI: ABMM,ABM Investama Tbk.,,[],
5,BEI: ACES,Aspirasi Hidup Indonesia Tbk.,,[],
6,BEI: ACRO,Samcro Hyosung Adilestari Tbk.,,[],
7,BEI: ACST,Acset Indonusa Tbk.,,[],
8,BEI: ADCP,Adhi Commuter Properti Tbk.,,[],
9,BEI: ADES,Akasha Wira International Tbk.,,[],
10,BEI: ADHI,Adhi Karya (Persero) Tbk.,,[],
11,BEI: ADMF,Adira Dinamika Multi Finance T,,[],
12,BEI: ADMG,Polychem Indonesia Tbk,,[],
13,BEI: ADMR,Adaro Minerals Indonesia Tbk.,,[],
14,BEI: ADRO,Alamtri Resources Indonesia Tb,,[],
15,BEI: AEGS,Anugerah Spareparts Sejahtera,,[],
16,BEI: AGAR,Asia Sejahtera Mina Tbk.,,[],
17,BEI: AGII,Samator Indo Gas Tbk.,,[],
18,BEI: AGRO,Bank Raya Indonesia Tbk.,,[],
19,BEI: AGRS,Bank IBK Indonesia Tbk.,,[],
20,BEI: AHAP,Asuransi Harta Aman Pratama Tbk.,,[],
21,BEI: AIMS,Artha Mahiya Investama Tbk.,,[],
22,BEI: AISA,FKS Food Sejahtera Tbk.,,[],
23,BEI: AKKU,Anugerah Kagum Karya Utama Tbk,,[],
24,BEI: AKPI,Argha Karya Prima Industry Tbk,,[],
25,BEI: AKRA,AKR Corporindo Tbk.,,[],
26,BEI: AKSI,Mineral Sumberdaya Mandiri Tbk,,[],
27,BEI: ALDO,Alkindo Naratama Tbk.,,[],
28,BEI: ALII,Ancara Logistics Indonesia Tbk,,[],
29,BEI: ALKA,Alakasa Industrindo Tbk,,[],
30,BEI: ALMI,Alumindo Light Metal Industry,,[],
31,BEI: ALTO,Tri Banyan Tirta Tbk.,,[],
32,BEI: AMAG,Asuransi Multi Artha Guna Tbk.,,[],
33,BEI: AMAN,Makmur Berkah Amanda Tbk.,,[],
34,BEI: AMAR,Bank Amar Indonesia Tbk.,,[],
35,BEI: AMFG,Asahimas Flat Glass Tbk.,,[],
36,BEI: AMIN,Ateliers Mecaniques D Indonesi,,[],
37,BEI: AMMN,Amman Mineral Internasional Tb,,[],
38,BEI: AMMS,Agung Menjangan Mas Tbk.,,[],
39,BEI: AMOR,Ashmore Asset Management Indon,,[],
40,BEI: AMRT,Sumber Alfaria Trijaya Tbk.,,[],
41,BEI: ANDI,Andira Agro Tbk.,,[],
42,BEI: ANJT,Austindo Nusantara Jaya Tbk.,,[],
43,BEI: ANTM,Aneka Tambang Tbk.,,[],
44,BEI: APEX,Apexindo Pratama Duta Tbk.,,[],
45,BEI: APIC,Pacific Strategic Financial Tb,,[],
46,BEI: APII,Arita Prima Indonesia Tbk.,,[],
47,BEI: APLI,Asiaplast Industries Tbk.,,[],
48,BEI: APLN,Agung Podomoro Land Tbk.,,[],
49,BEI: ARCI,Archi Indonesia Tbk.,,[],
50,BEI: AREA,Dunia Virtual Online Tbk.,,[],
51,BEI: ARGO,Argo Pantes Tbk,,[],
52,BEI: ARII,Atlas Resources Tbk.,,[],
53,BEI: ARKA,Arkha Jayanti Persada Tbk.,,[],
54,BEI: ARKO,Arkora Hydro Tbk.,,[],
55,BEI: ARMY,Armidian Karyatama Tbk.,,[],
56,BEI: ARNA,Arwana Citramulia Tbk.,,[],
57,BEI: ARTA,Arthavest Tbk,,[],
58,BEI: ARTI,Ratu Prabu Energi Tbk,,[],
59,BEI: ARTO,Bank Jago Tbk.,,[],
60,BEI: ASBI,Asuransi Bintang Tbk.,,[],
61,BEI: ASDM,Asuransi Dayin Mitra Tbk.,,[],
62,BEI: ASGR,Astra Graphia Tbk.,,[],
63,BEI: ASHA,Cilacap Samudera Fishing Indus,,[],
64,BEI: ASII,Astra International Tbk.,,[],
65,BEI: ASJT,Asuransi Jasa Tania Tbk.,,[],
66,BEI: ASLC,Autopedia Sukses Lestari Tbk.,,[],
67,BEI: ASLI,Asri Karya Lestari Tbk.,,[],
68,BEI: ASMI,Asuransi Maximus Graha Persada,,[],
69,BEI: ASPI,Andalan Sakti Primaindo Tbk.,,[],
70,BEI: ASRI,Alam Sutera Realty Tbk.,,[],
71,BEI: ASRM,Asuransi Ramayana Tbk.,,[],
72,BEI: ASSA,Adi Sarana Armada Tbk.,,[],
73,BEI: ATAP,Trimitra Prawara Goldland Tbk.,,[],
74,BEI: ATIC,Anabatic Technologies Tbk.,,[],
75,BEI: ATLA,Atlantis Subsea Indonesia Tbk.,,[],
76,BEI: AUTO,Astra Otoparts Tbk.,,[],
77,BEI: AVIA,Avia Avian Tbk.,,[],
78,BEI: AWAN,Era Digital Media Tbk.,,[],
79,BEI: AXIO,Tera Data Indonusa Tbk.,,[],
80,BEI: AYAM,Janu Putra Sejahtera Tbk.,,[],
81,BEI: AYLS,Agro Yasa Lestari Tbk.,,[],
82,BEI: PTBA,Bukit Asam Tbk.,,[],
83,BEI: BABP,Bank MNC Internasional Tbk.,,[],
84,BEI: BABY,Multitrend Indo Tbk.,,[],
85,BEI: BACA,Bank Capital Indonesia Tbk.,,[],
86,BEI: BAIK,Bersama Mencapai Puncak Tbk.,,[],
87,BEI: BAJA,Saranacentral Bajatama Tbk.,,[],
88,BEI: BALI,Bali Towerindo Sentra Tbk.,,[],
89,BEI: BANK,Bank Aladin Syariah Tbk.,,[],
90,BEI: BAPA,Bekasi Asri Pemula Tbk.,,[],
91,BEI: BAPI,Bhakti Agung Propertindo Tbk.,,[],
92,BEI: BATA,Sepatu Bata Tbk.,,[],
93,BEI: BATR,Benteng Api Technic Tbk.,,[],
94,BEI: BAUT,Mitra Angkasa Sejahtera Tbk.,,[],
95,BEI: BAYU,Bayu Buana Tbk,,[],
96,BEI: BBCA,Bank Central Asia Tbk.,,[],
97,BEI: BBHI,Allo Bank Indonesia Tbk.,,[],
98,BEI: BBKP,Bank KB Bukopin Tbk.,,[],
99,BEI: BBLD,Buana Finance Tbk.,,[],
100,BEI: BBMD,Bank Mestika Dharma Tbk.,,[],
101,BEI: BBNI,Bank Negara Indonesia (Persero) Tbk.,,[],
102,BEI: BBRI,Bank Rakyat Indonesia (Persero) Tbk.,,[],
103,BEI: BBRM,Pelayaran Nasional Bina Buana,,[],
104,BEI: BBSI,Krom Bank Indonesia Tbk.,,[],
105,BEI: BBSS,Bumi Benowo Sukses Sejahtera T,,[],
106,BEI: BBTN,Bank Tabungan Negara (Persero),,[],
107,BEI: BBYB,Bank Neo Commerce Tbk.,,[],
108,BEI: BCAP,MNC Kapital Indonesia Tbk.,,[],
109,BEI: BCIC,Bank JTrust Indonesia Tbk.,,[],
110,BEI: BCIP,Bumi Citra Permai Tbk.,,[],
111,BEI: BDKR,Berdikari Pondasi Perkasa Tbk.,,[],
112,BEI: BDMN,Bank Danamon Indonesia Tbk.,,[],
113,BEI: BEBS,Berkah Beton Sadaya Tbk.,,[],
114,BEI: BEEF,Estika Tata Tiara Tbk.,,[],
115,BEI: BEER,Jobubu Jarum Minahasa Tbk.,,[],
116,BEI: BEKS,Bank Pembangunan Daerah Banten,,[],
117,BEI: BELI,Global Digital Niaga Tbk.,,[],
118,BEI: BELL,Trisula Textile Industries Tbk,,[],
119,BEI: BESS,Batulicin Nusantara Maritim Tb,,[],
120,BEI: BEST,Bekasi Fajar Industrial Estate,,[],
121,BEI: BFIN,BFI Finance  Indonesia Tbk.,,[],
122,BEI: BGTG,Bank Ganesha Tbk.,,[],
123,BEI: BHAT,Bhakti Multi Artha Tbk.,,[],
124,BEI: BHIT,MNC Asia Holding Tbk.,,[],
125,BEI: BIKA,Binakarya Jaya Abadi Tbk.,,[],
126,BEI: BIKE,Sepeda Bersama Indonesia Tbk.,,[],
127,BEI: BIMA,Primarindo Asia Infrastructure,,[],
128,BEI: BINA,Bank Ina Perdana Tbk.,,[],
129,BEI: BINO,Perma Plasindo Tbk.,,[],
130,BEI: BIPI,Astrindo Nusantara Infrastrukt,,[],
131,BEI: BIPP,Bhuwanatala Indah Permai Tbk.,,[],
132,BEI: BIRD,Blue Bird Tbk.,,[],
133,BEI: BISI,BISI International Tbk.,,[],
134,BEI: BJBR,Bank Pembangunan Daerah Jawa B,,[],
135,BEI: BJTM,Bank Pembangunan Daerah Jawa T,,[],
136,BEI: BKDP,Bukit Darmo Property Tbk.,,[],
137,BEI: BKSL,Sentul City Tbk.,,[],
138,BEI: BKSW,Bank QNB Indonesia Tbk.,,[],
139,BEI: BLES,Superior Prima Sukses Tbk.,,[],
140,BEI: BLTA,Berlian Laju Tanker Tbk,,[],
141,BEI: BLTZ,Graha Layar Prima Tbk.,,[],
142,BEI: BLUE,Berkah Prima Perkasa Tbk.,,[],
143,BEI: BMAS,Bank Maspion Indonesia Tbk.,,[],
144,BEI: BMBL,Lavender Bina Cendikia Tbk.,,[],
145,BEI: BMHS,Bundamedik Tbk.,,[],
146,BEI: BMRI,Bank Mandiri (Persero) Tbk.,,[],
147,BEI: BMSR,Bintang Mitra Semestaraya Tbk,,[],
148,BEI: BMTR,Global Mediacom Tbk.,,[],
149,BEI: BNBA,Bank Bumi Arta Tbk.,,[],
150,BEI: BNBR,Bakrie & Brothers Tbk,,[],
151,BEI: BNGA,Bank CIMB Niaga Tbk.,,[],
152,BEI: BNII,Bank Maybank Indonesia Tbk.,,[],
153,BEI: BNLI,Bank Permata Tbk.,,[],
154,BEI: BOAT,Newport Marine Services Tbk.,,[],
155,BEI: BOBA,Formosa Ingredient Factory Tbk,,[],
156,BEI: BOGA,Bintang Oto Global Tbk.,,[],
157,BEI: BOLA,Bali Bintang Sejahtera Tbk.,,[],
158,BEI: BOLT,Garuda Metalindo Tbk.,,[],
159,BEI: BOSS,Borneo Olah Sarana Sukses Tbk.,,[],
160,BEI: BPFI,Woori Finance Indonesia Tbk.,,[],
161,BEI: BPII,Batavia Prosperindo Internasio,,[],
162,BEI: BPTR,Batavia Prosperindo Trans Tbk.,,[],
163,BEI: BRPT,Barito Pacific Tbk.,,[],
164,BEI: BRAM,Indo Kordsa Tbk.,,[],
165,BEI: BREN,Barito Renewables Energy Tbk.,,[],
166,BEI: BRIS,Bank Syariah Indonesia Tbk.,,[],
167,BEI: BRMS,Bumi Resources Minerals Tbk.,,[],
168,BEI: BRNA,Berlina Tbk.,,[],
169,BEI: BSBK,Wulandari Bangun Laksana Tbk.,,[],
170,BEI: BSDE,Bumi Serpong Damai Tbk.,,[],
171,BEI: BSIM,Bank Sinarmas Tbk.,,[],
172,BEI: BSML,Bintang Samudera Mandiri Lines,,[],
173,BEI: BSSR,Baramulti Suksessarana Tbk.,,[],
174,BEI: BSWD,Bank Of India Indonesia Tbk.,,[],
175,BEI: BTEK,Bumi Teknokultura Unggul Tbk,,[],
176,BEI: BTEL,Bakrie Telecom Tbk.,,[],
